epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,112.66,0.95421,0.63288,1.06024,0.76209,0.73636,0.77552,0.48722,1.36804,1.045,1.36509,0.0004754,0.0004754,0.0004754
79,114.054,0.94732,0.6392,1.06699,0.76882,0.72121,0.78359,0.49636,1.32408,1.04553,1.31631,0.0004556,0.0004556,0.0004556
80,115.45,0.91883,0.64046,1.05129,0.78892,0.69697,0.7827,0.4825,1.3522,1.02128,1.34515,0.0004358,0.0004358,0.0004358
81,116.85,0.90882,0.63337,1.04437,0.79689,0.69394,0.79236,0.49155,1.35203,0.98297,1.34348,0.000416,0.000416,0.000416
82,118.274,0.90568,0.63034,1.05327,0.80283,0.67862,0.77447,0.48282,1.3531,1.04139,1.37313,0.0003962,0.0003962,0.0003962
83,119.655,0.89393,0.58981,1.02355,0.79184,0.70606,0.7734,0.49824,1.30126,1.03949,1.34432,0.0003764,0.0003764,0.0003764
84,121.042,0.89089,0.62369,1.05044,0.80602,0.69394,0.78079,0.49414,1.31166,1.05729,1.31877,0.0003566,0.0003566,0.0003566
85,122.436,0.90288,0.60017,1.03832,0.77702,0.67576,0.76431,0.49241,1.35333,1.13532,1.35972,0.0003368,0.0003368,0.0003368
86,123.828,0.88964,0.60101,1.03758,0.78841,0.66364,0.76559,0.47355,1.35335,1.08824,1.35365,0.000317,0.000317,0.000317
87,125.216,0.86365,0.61402,1.03427,0.75397,0.72433,0.77098,0.48746,1.37518,1.04936,1.35509,0.0002972,0.0002972,0.0002972
88,126.614,0.8799,0.62025,1.04747,0.80182,0.69697,0.77452,0.49177,1.34349,1.02404,1.35892,0.0002774,0.0002774,0.0002774
89,128.017,0.88041,0.60111,1.01733,0.77249,0.70995,0.77133,0.49122,1.31505,1.0093,1.32268,0.0002576,0.0002576,0.0002576
90,129.423,0.89678,0.66158,1.0504,0.74994,0.72727,0.77993,0.48497,1.36275,1.04788,1.36866,0.0002378,0.0002378,0.0002378
91,131.197,0.84608,0.60763,1.00104,0.80949,0.66364,0.77034,0.48467,1.33962,1.10623,1.35043,0.000218,0.000218,0.000218
92,132.595,0.80692,0.54511,0.98604,0.74794,0.7,0.767,0.48505,1.34203,1.05723,1.35069,0.0001982,0.0001982,0.0001982
93,133.971,0.78703,0.54386,0.96282,0.73976,0.73218,0.77376,0.48329,1.33848,1.06599,1.34579,0.0001784,0.0001784,0.0001784
94,135.359,0.75005,0.50262,0.95213,0.78222,0.70747,0.76812,0.49277,1.3151,1.0355,1.33565,0.0001586,0.0001586,0.0001586
95,136.737,0.73587,0.46801,0.95248,0.76251,0.71212,0.78578,0.49036,1.30654,1.02855,1.33083,0.0001388,0.0001388,0.0001388
96,138.129,0.73582,0.47135,0.95405,0.76817,0.70285,0.78165,0.48944,1.33112,1.0332,1.33669,0.000119,0.000119,0.000119
97,139.515,0.74713,0.45785,0.96157,0.73317,0.73273,0.79007,0.49558,1.32304,1.03721,1.33263,9.92e-05,9.92e-05,9.92e-05
98,140.921,0.72721,0.46894,0.94927,0.71382,0.7697,0.78962,0.49379,1.32359,1.0383,1.33863,7.94e-05,7.94e-05,7.94e-05
99,142.309,0.70906,0.44593,0.92658,0.74048,0.74356,0.79396,0.49423,1.32389,1.03422,1.33901,5.96e-05,5.96e-05,5.96e-05
100,143.705,0.72614,0.44984,0.94051,0.76915,0.72424,0.79636,0.50237,1.30439,1.02629,1.31708,3.98e-05,3.98e-05,3.98e-05
